iter	Passed	Remaining
0	1	1560
1	2	1342
2	4	1390
3	5	1385
4	6	1314
5	7	1260
6	8	1221
7	9	1205
8	10	1183
9	11	1169
10	12	1162
11	13	1150
12	15	1140
13	16	1132
14	17	1128
15	18	1124
16	19	1119
17	20	1111
18	21	1104
19	22	1099
20	23	1093
21	24	1092
22	25	1098
23	27	1107
24	28	1123
25	29	1117
26	30	1111
27	31	1106
28	32	1096
29	33	1093
30	35	1097
31	36	1095
32	37	1095
33	38	1091
34	39	1093
35	41	1103
36	42	1101
37	43	1110
38	45	1113
39	46	1107
40	47	1109
41	48	1111
42	50	1119
43	51	1125
44	52	1124
45	54	1125
46	55	1123
47	56	1121
48	57	1121
49	59	1121
50	60	1119
51	61	1122
52	62	1122
53	64	1124
54	65	1123
55	66	1123
56	67	1121
57	68	1117
58	69	1109
59	70	1106
60	71	1103
61	72	1099
62	73	1098
63	75	1097
64	76	1096
65	77	1093
66	78	1092
67	79	1091
68	80	1089
69	81	1087
70	82	1085
71	84	1082
72	85	1079
73	86	1077
74	87	1075
75	88	1073
76	89	1072
77	90	1072
78	91	1071
79	93	1069
80	94	1068
81	95	1066
82	96	1066
83	97	1065
84	98	1064
85	100	1062
86	101	1061
87	102	1059
88	103	1056
89	104	1054
90	105	1053
91	106	1052
92	107	1052
93	109	1051
94	110	1049
95	111	1049
96	112	1047
97	113	1041
98	114	1040
99	115	1038
100	116	1036
101	117	1033
102	118	1031
103	119	1029
104	120	1029
105	122	1028
106	123	1027
107	124	1026
108	125	1025
109	126	1023
110	127	1021
111	128	1021
112	129	1019
113	130	1017
114	131	1015
115	132	1013
116	134	1011
117	135	1009
118	136	1009
119	137	1008
120	138	1006
121	139	1005
122	140	1004
123	142	1003
124	143	1001
125	144	1000
126	145	1000
127	146	998
128	147	996
129	148	992
130	149	991
131	150	989
132	151	987
133	152	987
134	154	987
135	155	987
136	156	986
137	157	984
138	158	982
139	159	982
140	161	981
141	162	980
142	163	978
143	164	977
144	165	976
145	166	974
146	167	973
147	168	972
148	170	971
149	171	970
150	172	969
151	173	970
152	175	968
153	176	967
154	177	965
155	177	961
156	178	960
157	179	958
158	180	956
159	181	954
160	183	954
161	184	953
162	185	952
163	186	950
164	187	949
165	190	959
166	205	1023
167	222	1101
168	235	1155
169	252	1231
170	266	1292
171	282	1358
172	296	1416
173	307	1461
174	309	1458
175	310	1454
176	312	1451
177	313	1447
178	314	1442
179	315	1437
180	316	1432
181	317	1428
182	318	1424
183	320	1419
184	321	1414
185	322	1411
186	323	1407
187	325	1403
188	326	1399
189	327	1396
190	328	1392
191	329	1388
192	331	1384
193	332	1380
194	333	1376
195	334	1372
196	335	1368
197	336	1363
198	337	1359
199	338	1355
200	339	1350
201	341	1347
202	342	1344
203	343	1341
204	344	1337
205	346	1334
206	347	1331
207	348	1327
208	349	1324
209	350	1320
210	351	1315
211	352	1311
212	353	1307
213	355	1304
214	356	1300
215	357	1296
216	358	1293
217	359	1290
218	360	1287
219	362	1283
220	363	1280
221	364	1276
222	365	1272
223	366	1269
224	367	1265
225	368	1262
226	369	1259
227	370	1255
228	372	1252
229	373	1249
230	374	1245
231	375	1242
232	376	1239
233	377	1236
234	378	1233
235	379	1229
236	380	1226
237	381	1222
238	382	1219
239	383	1215
240	385	1213
241	386	1210
242	387	1207
243	388	1204
244	389	1201
245	391	1199
246	392	1196
247	393	1193
248	394	1190
249	395	1187
250	396	1184
251	398	1181
252	399	1178
253	400	1175
254	401	1173
255	403	1171
256	404	1168
257	405	1166
258	406	1163
259	407	1160
260	408	1157
261	419	1180
262	433	1216
263	450	1254
264	465	1290
265	480	1326
266	495	1360
267	509	1392
268	511	1388
269	512	1385
270	513	1381
271	514	1377
272	515	1373
273	516	1369
274	518	1365
275	519	1361
276	520	1358
277	521	1354
278	522	1350
279	523	1347
280	525	1343
281	526	1340
282	527	1336
283	540	1362
284	555	1394
285	569	1422
286	584	1452
287	599	1482
288	614	1512
289	628	1539
290	644	1569
291	659	1599
292	660	1594
293	662	1590
294	663	1586
295	665	1582
296	666	1577
297	667	1572
298	668	1567
299	670	1563
300	671	1558
301	672	1553
302	673	1549
303	674	1544
304	675	1540
305	677	1535
306	678	1531
307	679	1526
308	680	1522
309	681	1517
310	683	1513
311	684	1508
312	685	1503
313	686	1499
314	687	1495
315	688	1490
316	689	1486
317	690	1481
318	692	1477
319	693	1473
320	694	1469
321	696	1465
322	697	1462
323	698	1457
324	699	1453
325	700	1449
326	702	1445
327	703	1441
328	704	1437
329	705	1432
330	706	1428
331	707	1424
332	708	1419
333	709	1415
334	711	1411
335	712	1407
336	713	1403
337	714	1398
338	715	1394
339	716	1390
340	717	1386
341	718	1382
342	719	1378
343	721	1375
344	722	1371
345	723	1367
346	724	1363
347	725	1359
348	726	1355
349	727	1351
350	728	1347
351	729	1343
352	731	1339
353	732	1336
354	733	1332
355	734	1329
356	748	1348
357	762	1367
358	778	1389
359	792	1409
360	806	1427
361	820	1445
362	836	1468
363	852	1489
364	854	1486
365	855	1481
366	856	1477
367	857	1473
368	858	1468
369	859	1464
370	861	1459
371	862	1455
372	863	1451
373	864	1446
374	865	1442
375	866	1438
376	868	1434
377	869	1430
378	871	1427
379	872	1423
380	873	1419
381	874	1415
382	875	1411
383	876	1406
384	877	1402
385	878	1398
386	880	1394
387	881	1390
388	882	1386
389	883	1382
390	884	1378
391	886	1374
392	887	1370
393	888	1366
394	889	1362
395	890	1358
396	891	1354
397	892	1350
398	893	1345
399	894	1341
400	895	1337
401	896	1333
402	897	1330
403	898	1326
404	900	1322
405	901	1318
406	902	1314
407	903	1311
408	904	1307
409	905	1303
410	906	1299
411	907	1295
412	908	1291
413	909	1288
414	911	1284
415	912	1280
416	913	1277
417	914	1273
418	915	1269
419	916	1266
420	918	1262
421	919	1259
422	920	1255
423	921	1251
424	922	1248
425	923	1244
426	925	1241
427	932	1246
428	948	1262
429	963	1276
430	979	1292
431	994	1308
432	1009	1321
433	1023	1334
434	1029	1336
435	1030	1333
436	1031	1329
437	1033	1325
438	1034	1321
439	1035	1317
440	1036	1313
441	1037	1310
442	1038	1306
443	1040	1303
444	1041	1299
445	1042	1295
446	1043	1291
447	1044	1287
448	1045	1283
449	1046	1279
450	1047	1275
451	1048	1271
452	1049	1267
453	1050	1263
454	1051	1259
455	1052	1256
456	1053	1252
457	1055	1248
458	1056	1244
459	1057	1241
460	1058	1237
461	1059	1234
462	1060	1230
463	1062	1227
464	1063	1223
465	1064	1219
466	1065	1216
467	1066	1212
468	1068	1209
469	1069	1205
470	1070	1202
471	1071	1198
472	1072	1195
473	1074	1192
474	1075	1188
475	1076	1185
476	1077	1181
477	1078	1178
478	1080	1174
479	1081	1171
480	1082	1167
481	1083	1164
482	1084	1161
483	1086	1157
484	1087	1154
485	1088	1151
486	1089	1147
487	1091	1144
488	1092	1141
489	1093	1138
490	1094	1134
491	1096	1131
492	1097	1128
493	1098	1125
494	1099	1121
495	1100	1118
496	1101	1115
497	1103	1112
498	1104	1109
499	1105	1105
500	1106	1102
501	1107	1099
502	1109	1096
503	1110	1092
504	1111	1089
505	1112	1086
506	1113	1082
507	1114	1079
508	1115	1076
509	1116	1072
510	1117	1069
511	1118	1066
512	1119	1063
513	1120	1059
514	1121	1056
515	1122	1053
516	1124	1050
517	1124	1046
518	1125	1043
519	1126	1040
520	1127	1036
521	1128	1033
522	1129	1030
523	1130	1027
524	1131	1024
525	1133	1021
526	1134	1017
527	1135	1014
528	1136	1011
529	1137	1008
530	1138	1005
531	1139	1002
532	1140	999
533	1141	995
534	1142	992
535	1143	989
536	1144	986
537	1145	983
538	1146	980
539	1147	977
540	1148	974
541	1149	971
542	1150	968
543	1151	965
544	1153	962
545	1154	959
546	1155	956
547	1156	953
548	1157	950
549	1158	947
550	1159	944
551	1160	941
552	1162	939
553	1163	936
554	1164	933
555	1165	930
556	1166	928
557	1168	925
558	1169	922
559	1170	919
560	1171	916
561	1172	913
562	1173	910
563	1174	908
564	1176	905
565	1177	902
566	1178	899
567	1179	897
568	1180	894
569	1182	891
570	1183	888
571	1184	886
572	1185	883
573	1186	880
574	1187	877
575	1188	874
576	1189	872
577	1190	869
578	1191	866
579	1192	863
580	1194	861
581	1195	858
582	1196	855
583	1197	852
584	1198	850
585	1200	847
586	1201	845
587	1213	850
588	1228	857
589	1246	866
590	1262	873
591	1278	880
592	1296	889
593	1311	896
594	1321	899
595	1322	896
596	1323	893
597	1324	890
598	1326	888
599	1328	885
600	1329	882
601	1330	879
602	1331	876
603	1333	874
604	1334	871
605	1335	868
606	1336	865
607	1337	862
608	1338	859
609	1340	856
610	1341	853
611	1342	850
612	1343	847
613	1344	845
614	1345	842
615	1346	839
616	1347	836
617	1348	833
618	1349	830
619	1350	827
620	1351	825
621	1352	822
622	1354	819
623	1354	816
624	1355	813
625	1357	810
626	1358	807
627	1359	805
628	1360	802
629	1361	799
630	1362	796
631	1363	793
632	1364	791
633	1365	788
634	1366	785
635	1367	782
636	1369	780
637	1370	777
638	1371	774
639	1372	772
640	1373	769
641	1374	766
642	1375	763
643	1376	761
644	1378	758
645	1379	755
646	1380	753
647	1381	750
648	1382	747
649	1383	745
650	1384	742
651	1386	739
652	1387	737
653	1388	734
654	1389	731
655	1390	729
656	1391	726
657	1392	723
658	1393	721
659	1394	718
660	1395	715
661	1396	713
662	1397	710
663	1398	707
664	1399	705
665	1400	702
666	1402	699
667	1403	697
668	1404	694
669	1405	692
670	1406	689
671	1407	686
672	1408	684
673	1409	681
674	1410	679
675	1411	676
676	1412	674
677	1413	671
678	1415	668
679	1416	666
680	1417	664
681	1418	661
682	1419	658
683	1420	656
684	1421	653
685	1422	651
686	1424	648
687	1425	646
688	1426	643
689	1427	641
690	1427	638
691	1429	636
692	1430	633
693	1431	631
694	1432	628
695	1433	626
696	1434	623
697	1436	621
698	1437	618
699	1438	616
700	1439	614
701	1440	611
702	1441	609
703	1443	606
704	1444	604
705	1445	601
706	1446	599
707	1448	597
708	1449	594
709	1450	592
710	1451	590
711	1452	587
712	1460	587
713	1472	589
714	1485	592
715	1500	595
716	1515	598
717	1542	605
718	1558	609
719	1579	614
720	1593	616
721	1609	619
722	1619	620
723	1620	617
724	1621	615
725	1628	614
726	1629	612
727	1631	609
728	1632	607
729	1634	604
730	1635	601
731	1636	599
732	1638	596
733	1639	594
734	1640	591
735	1642	589
736	1643	586
737	1644	583
738	1645	581
739	1647	578
740	1648	576
741	1649	573
742	1650	571
743	1652	568
744	1653	565
745	1654	563
746	1655	560
747	1656	558
748	1657	555
749	1659	553
750	1660	550
751	1661	547
752	1662	545
753	1663	542
754	1665	540
755	1666	537
756	1667	535
757	1669	532
758	1670	530
759	1671	527
760	1672	525
761	1674	522
762	1675	520
763	1676	517
764	1677	515
765	1678	512
766	1679	510
767	1680	507
768	1681	505
769	1682	502
770	1684	500
771	1686	498
772	1687	495
773	1688	493
774	1689	490
775	1690	488
776	1691	485
777	1692	483
778	1693	480
779	1695	478
780	1696	475
781	1697	473
782	1698	470
783	1699	468
784	1700	465
785	1701	463
786	1703	460
787	1704	458
788	1705	455
789	1706	453
790	1707	451
791	1708	448
792	1709	446
793	1710	443
794	1711	441
795	1712	438
796	1713	436
797	1714	434
798	1716	431
799	1717	429
800	1718	427
801	1729	427
802	1746	428
803	1761	429
804	1776	430
805	1791	431
806	1806	431
807	1820	432
808	1832	432
809	1834	430
810	1835	427
811	1836	425
812	1837	422
813	1838	420
814	1839	417
815	1840	415
816	1841	412
817	1842	409
818	1843	407
819	1844	404
820	1845	402
821	1846	399
822	1848	397
823	1849	394
824	1850	392
825	1851	389
826	1852	387
827	1853	385
828	1854	382
829	1855	380
830	1856	377
831	1857	375
832	1858	372
833	1859	370
834	1860	367
835	1861	365
836	1862	362
837	1863	360
838	1864	357
839	1865	355
840	1866	352
841	1867	350
842	1868	348
843	1870	345
844	1871	343
845	1872	340
846	1873	338
847	1874	335
848	1875	333
849	1876	331
850	1877	328
851	1878	326
852	1879	323
853	1880	321
854	1881	319
855	1882	316
856	1884	314
857	1885	312
858	1886	309
859	1887	307
860	1888	304
861	1890	302
862	1891	300
863	1892	297
864	1894	295
865	1895	293
866	1896	290
867	1897	288
868	1898	286
869	1899	283
870	1901	281
871	1902	279
872	1903	276
873	1904	274
874	1905	272
875	1907	269
876	1908	267
877	1909	265
878	1910	262
879	1911	260
880	1912	258
881	1913	256
882	1914	253
883	1915	251
884	1917	249
885	1918	246
886	1919	244
887	1920	242
888	1921	239
889	1922	237
890	1923	235
891	1924	233
892	1925	230
893	1926	228
894	1927	226
895	1928	223
896	1930	221
897	1931	219
898	1932	217
899	1933	214
900	1934	212
901	1935	210
902	1936	208
903	1937	205
904	1938	203
905	1939	201
906	1940	199
907	1942	196
908	1943	194
909	1944	192
910	1945	190
911	1946	187
912	1947	185
913	1948	183
914	1950	181
915	1951	178
916	1952	176
917	1954	174
918	1955	172
919	1956	170
920	1957	167
921	1958	165
922	1959	163
923	1960	161
924	1961	159
925	1962	156
926	1963	154
927	1964	152
928	1966	150
929	1967	148
930	1968	145
931	1969	143
932	1970	141
933	1971	139
934	1972	137
935	1973	134
936	1974	132
937	1976	130
938	1977	128
939	1978	126
940	1979	124
941	1980	121
942	1982	119
943	1983	117
944	1984	115
945	1985	113
946	1986	111
947	1987	109
948	1988	106
949	1989	104
950	1990	102
951	1991	100
952	1992	98
953	1993	96
954	1995	94
955	1996	91
956	1997	89
957	1998	87
958	1999	85
959	2000	83
960	2002	81
961	2003	79
962	2004	77
963	2005	74
964	2006	72
965	2008	70
966	2009	68
967	2010	66
968	2011	64
969	2013	62
970	2014	60
971	2015	58
972	2016	55
973	2017	53
974	2018	51
975	2019	49
976	2020	47
977	2021	45
978	2022	43
979	2024	41
980	2025	39
981	2026	37
982	2027	35
983	2028	32
984	2030	30
985	2031	28
986	2032	26
987	2033	24
988	2034	22
989	2035	20
990	2036	18
991	2037	16
992	2038	14
993	2039	12
994	2040	10
995	2041	8
996	2042	6
997	2044	4
998	2045	2
999	2048	0
